UnitID,Institution,OPEID8,Institution2,Street_address,City,ZIP,website,Mission_statement, Mission statement URL,blank
459523,ABC Beauty Academy,04168800  ,ABC Beauty Academy,2109 Buckingham Rd.,Richardson,75081,www.abcbeautyacademy.webs.com/,MISSION STATEMENT  Cosmetology is a multi-billion dollar industry with endless possibilities. With more men and women taking their appearance seriously  the opportunities for personal and professional growth have been better in the beauty industry. This industry provides job security or the potential to start your own business.  The objective of ABC Beauty Academy is to provide comprehensive educational tools needed for students to become exceptionally trained  qualified professionals who can secure employment in the fields of Cosmetology  Esthetics (Facial) and/or Manicuring.,,
222178,Abilene Christian University,00353700  ,Abilene Christian University, ,Abilene,79699,www.acu.edu/,,www.acu.edu/about/our-mission/,
497037,Abilene Christian University-Undergraduate Online,00353700  ,Abilene Christian University-Undergraduate Online,16633 Dallas Parkway  Suite 800,Addison,75001,https://www.acu.edu/academics/online/undergraduate,,www.acu.edu/about/our-mission/,
447449,Academy of Hair Design-Jasper,03276301  ,Academy of Hair Design-Jasper,348 Spring Hill St,Jasper,75951,lufkinhairdesign.com/,,www.lufkinhairdesign.com,
434274,Academy of Hair Design-Lufkin,03276300  ,Academy of Hair Design-Lufkin,512 S Chestnut,Lufkin,75904,lufkinhairdesign.com/,,academyofhair.net,
437608,Advanced Barber College and Hair Design,03412300  ,Advanced Barber College and Hair Design,2818 S International,Weslaco,78596,abcrgv.com/,The mission of the Advanced Barber College & Hair Design  Inc. is to provide excellent professional training to our students  to prepare them for both the State Board of Barber exam and a successful career in the barber industry. Because of our mission  our curriculum emphasizes the basic and advanced skills so that those students build a solid foundation of knowledge and service.  Our staff provides our students with textbook studies  hands-on training serving clients  and opportunities to attend annual trade shows  to help students master both the procedures and the challenges of the profession itself.,,
458052,Advanced Beauty College,04155800  ,Advanced Beauty College,3959 N. Beltline Rd.,Irving,75038,www.advancedbeautycollege.net/,,,
482981,Alamo City Barber College,04231900  ,Alamo City Barber College,8910 Bandera Road Suite 209,San Antonio,78250-3227,www.alamocitybarbercollege.com/,,www.alamocitybarbercollege.com/history/,
222497,Alamo Community College District Central Office,00360700  ,Alamo Community College District Central Office,2222 N. Alamo St.,San Antonio,78215,alamo.edu/district/,,,
490522,Allgood Beauty Institute,04267200  ,Allgood Beauty Institute,9741 Preston Road Suite 106,Frisco,75033-4112,allgoodbeauty.com/,,Allgoodbeauty.com,
445461,Altierus Career College-Bissonnet,00149916  ,Altierus Career College-Bissonnet,9700 Bissonnet St-Ste 1400,Houston,77036-8001,https://www.altierus.edu/,The mission of the College is to prepare students to enter  prosper in  and meet the needs of the employment  community served. To accomplish this purpose  the College offers a variety of career-oriented instructional programs and academic counseling services. The College believes that preparing students for participation in the working community is an important mission and a service to society. The College is dedicated to the ideal that all students should have the opportunity to reach their full potential. The College is concerned with developing  in all students  the quest for knowledge and skills necessary for life-long learning in their chosen field.,,
222567,Alvin Community College,00353900  ,Alvin Community College,3110 Mustang Rd,Alvin,77511-4898,www.alvincollege.edu/,,www.alvincollege.edu/about/mission-statement.html,
222576,Amarillo College,00354000  ,Amarillo College,2011 S. Washington,Amarillo,79109,www.actx.edu/,Amarillo College - Enriching the lives of our students and community by helping learners identify and achieve their educational goals.,,
222628,Amberton University,02259400  ,Amberton University,1700 Eastgate Dr,Garland,75041-5595,www.amberton.edu/,,www.amberton.edu/choosing-amberton/our-values.html,
429085,American College of Acupuncture and Oriental Med,03153300  ,American College of Acupuncture and Oriental Med,9100 Park  West Drive,Houston,77063-4104,www.acaom.edu/,American College of Acupuncture & Oriental Medicine (ACAOM) is a post baccalaureate academic institution dedicated to educating and conferring degrees upon graduating individuals having equipped them for successful careers as healthcare practitioners based on the theories  principles  and clinical applications of Traditional Chinese Medicine (TCM).    We embrace the tenets of Western science and promote the integration of TCM into mainstream biomedicine. Our clinics provide the community with affordable healthcare services while developing student skills and broadening the body of TCM research.     We are committed to excellence in teaching  research  patient care  and community service based on the finest skills  latest technologies  and the highest ethical standards of healthcare delivery.,,
445133,American InterContinental University-Houston,02113610  ,American InterContinental University-Houston,9999 Richmond Avenue,Houston,77042,www.aiuniv.edu/online-campus/campus-locations/houston,,www.aiuniv.edu/about/history,
494977,American Medical Institute Inc.,04286600  ,American Medical Institute Inc.,6902 Cook Rd,Houston,77099,https://amiinc.net/online-cna.html,AMI Inc embraces a people direct philosophy  which is uniquely simple. It accepts that humans are created with physical  mental  spiritual and emotional qualities  and it is the task of education to assist individuals to develop to the maximum of their capacity. AMI Inc provides qualified candidates with quality health career education utilizing work-based activity and skills training  instructing students to such competency level that qualifies them for entry level employment in their chosen program.,,
222822,Angelina College,00666100  ,Angelina College,3500 South First,Lufkin,75902-1768,www.angelina.edu/,The mission of Angelina College is to provide quality educational opportunities and services to aid students in the service area in reaching their full potential.,,
222831,Angelo State University,00354100  ,Angelo State University,2601 W. Avenue N,San Angelo,76909,www.angelo.edu/,,https://www.angelo.edu/asu_facts/mission-statement.php,
490425,Ann Webb Skin Institute,04265400  ,Ann Webb Skin Institute,11701 Jollyville Road,Austin,78759-3936,awskininstitute.com/,,awskininstitute.com/,
429094,AOMA Graduate School of Integrative Medicine,03156400  ,AOMA Graduate School of Integrative Medicine,4701 Westgate Blvd,Austin,78745,https://aoma.edu/,The Mission of AOMA is to transform lives and communities through education  patient care  leadership and research in Chinese and other integrative medicines.,,
494162,Arizona College of Nursing-Dallas,03115003  ,Arizona College of Nursing-Dallas,8330 LBJ Freeway Suite 100,Dallas,75243-1200,https://www.arizonacollege.edu/,,www.arizonacollege.edu/about-arizona-college/,
222877,Arlington Baptist University,02081400  ,Arlington Baptist University,3001 W Division,Arlington,76012-3425,https://abu.edu/,,https://www.abu.edu/mission-values1,
222886,Arlington Career Institute,02521200  ,Arlington Career Institute,901 Ave K,Grand Prairie,75050-2636,www.arlingtoncareerinstitute.edu/,,https://www.arlingtoncareerinstitute.edu/about/,
444556,Auguste Escoffier School of Culinary Arts-Austin,03727600  ,Auguste Escoffier School of Culinary Arts-Austin,6020-B Dillard Circle,Austin,78752,www.escoffier.edu/,,www.escoffier.edu/about/mission-and-core-values/,
495129,Austin Career Institute,04282500  ,Austin Career Institute,8711 Burnet Road suite H-98,Austin,78757-7066,www.austincareerinstitute.edu/,ACI's mission is to lift low income individuals  Veterans  displaced or laid off workers and New Americans into better paying  in demand careers through quality  short term education while simultaneously filling industry labor shortages  reducing the amount of government dependency  and strengthening the US economy.,,
222983,Austin College,00354300  ,Austin College,900 N Grand Ave,Sherman,75090-4400,www.austincollege.edu/,,https://www.austincollege.edu/about/fast-facts/mission/,
222992,Austin Community College District,01201500  ,Austin Community College District,5930 Middle Fiskville Rd,Austin,78752,www.austincc.edu/,,https://www.austincc.edu/about-acc/mission-vision-and-values,
247825,Austin Graduate School of Theology,02362800  ,Austin Graduate School of Theology,7640 Guadalupe St,Austin,78752,www.austingrad.edu/,The mission of Austin Graduate School of Theology is to promote knowledge  understanding  and practice of the Christian faith as taught in the Scriptures.,,
223001,Austin Presbyterian Theological Seminary,00354400  ,Austin Presbyterian Theological Seminary,100 E 27th St,Austin,78705-5711,https://www.austinseminary.edu/,,https://www.austinseminary.edu/about/mission-history,
455354,Aveda Arts & Sciences Institute-San Antonio,04142300  ,Aveda Arts & Sciences Institute-San Antonio,21003 Encino Commons Ste 121,San Antonio,78259-2792,https://avedaarts.edu/,COSMETOLOGY OPERATOR  The Cosmetology Operator curriculum is designed to prepare students for the State Licensing examination and for gainful employment.  A student will learn the technical  personal and business skills to be able to work in a professional salon as a cosmetologist  retail sales specialist  salon manager or owner.    ESTHETICIAN  The Esthetician curriculum is designed to prepare students for the State Licensing examination for estheticians and for gainful employment.  A student will learn specialized techniques to purify  balance and renew the skin and study international trends in makeup.  Job opportunities are available in the salon  medical and retail industries as Esthetician and Makeup Artist.,,
458070,Avenue Five Institute,04160700  ,Avenue Five Institute,8620 Burnet Rd Ste 300,Austin,78757,www.avenuefive.edu/,Avenue Five Institute is dedicated to providing an enriched learning environment that empowers students to discover their passion for beauty and wellness and develop the professional and business skills needed to succeed in the creative world of cosmetology  esthetics  massage therapy  and customer service fields.,,
